clip_id,group,num_frames,fps,files,poses,intr,idx
cd406ae7-497d-5aac-96ba-3181f8873b48,2,359,23.93,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(66, 7)","float32(66, 4)",91 rows
198b7ddb-9d7e-56b2-b34f-f36620dbc41a,2,78,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(10, 7)","float32(10, 4)",17 rows
c3bc398e-fb1d-5e43-949d-3dae49f4a88a,4,66,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(13, 7)","float32(13, 4)",15 rows
41a6676e-55a2-57f5-819f-0a4e425660f3,5,61,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(15, 7)","float32(15, 4)",17 rows
090fdaa6-cae1-528a-a107-9d9805c9fa44,7,164,56.85,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(10, 7)","float32(10, 4)",16 rows
19b0eefe-adaa-51d3-8ec5-93b8df118666,10,450,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(70, 7)","float32(70, 4)",76 rows
fea176e2-d5eb-518e-a495-b6d64e1fb2d3,10,72,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(26, 7)","float32(12, 4)",13 rows
9d26762d-3e71-58ea-9764-d863e5b37216,10,691,59.95,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(11, 7)","float32(11, 4)",64 rows
422544d3-626f-5be1-837b-5aaf91bd5096,11,97,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(24, 7)","float32(24, 4)",26 rows
e3fe5042-3f53-55fa-8430-f76332c57886,14,899,59.95,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(17, 7)","float32(17, 4)",83 rows
d64e4e45-7c86-5137-b32c-8bee80ff3d56,14,93,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(39, 7)","float32(16, 4)",17 rows
864ca25f-1afd-5e66-ab6e-d33d18314cdc,15,359,23.93,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(64, 7)","float32(64, 4)",91 rows
a7cb2094-c615-54c7-8e13-6672b8d57180,17,291,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(58, 7)","float32(58, 4)",60 rows
6245f487-0c29-5437-b8fa-de3d1630b7e0,17,895,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(71, 7)","float32(71, 4)",83 rows
05c61019-9217-5bd8-bf86-ca4eca31087f,18,573,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(20, 7)","float32(20, 4)",49 rows
05c43df8-c560-5578-ae03-3167f382b55a,19,450,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(33, 7)","float32(33, 4)",76 rows
5d9050a9-a915-5965-bf40-81d9fdf06013,19,240,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(75, 7)","float32(40, 4)",41 rows
f59cd0f5-f2ae-5a80-97a1-27a4b12245ff,19,450,29.99,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(69, 7)","float32(69, 4)",91 rows
38a9dc58-48eb-5897-92d5-e11fa210bc9e,20,61,24.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(38, 7)","float32(16, 4)",17 rows
045911a2-8bc7-5d5b-abd1-b806b8cc7fe0,21,309,59.95,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(28, 7)","float32(28, 4)",30 rows
f9becac3-139e-5686-9b3c-583e680ccfef,25,180,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(47, 7)","float32(30, 4)",31 rows
eac18574-3cfd-5b0d-bfd5-387737f58508,25,678,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(55, 7)","float32(55, 4)",58 rows
dd029c8d-8967-515a-b39b-5074ae642681,26,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(79, 7)","float32(79, 4)",83 rows
00636410-0ad3-5702-aaec-12d3ee05fab8,26,851,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(77, 7)","float32(77, 4)",79 rows
51b071d5-a881-56be-98a3-acfa9b171a87,26,900,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(69, 7)","float32(69, 4)",76 rows
f87e7447-b09f-5d9a-bf3a-85df3a6c5919,27,123,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(10, 7)","float32(10, 4)",12 rows
0d15156f-5b46-5c23-ad49-33d902582d2c,29,507,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(37, 7)","float32(37, 4)",44 rows
10a5ea32-94d6-5923-9b9b-e56cbd46b60a,31,156,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(31, 7)","float32(31, 4)",33 rows
10db5e74-89c9-5f2d-b136-996cbb9d10e0,32,216,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(36, 7)","float32(36, 4)",45 rows
e83bc070-9b04-532f-83bd-1d42bf0482e1,33,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(79, 7)","float32(79, 4)",83 rows
c27cc254-d3d6-51b2-ab14-a0f653d70b1e,33,106,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(26, 7)","float32(26, 4)",28 rows
7e74a5be-37f1-5e07-8d66-5e7b3cf7aeb9,34,141,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(27, 7)","float32(27, 4)",30 rows
c01e34c7-2a9f-5750-a76c-ca65b0aee936,34,63,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(32, 7)","float32(11, 4)",12 rows
850145da-95ce-59af-b986-5ec4e12d2234,34,351,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(70, 7)","float32(70, 4)",72 rows
0eb31b93-9ecc-5269-93c7-a7725a1a7ae8,34,900,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(70, 7)","float32(70, 4)",76 rows
514185af-d27b-53e6-8eb7-d77138aea874,35,151,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(32, 7)","float32(32, 4)",39 rows
72c9525e-2110-5ade-971c-f5a79b1b5d06,35,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(80, 7)","float32(80, 4)",83 rows
0f44824c-f6ca-5a70-92c4-aeeec75c9967,36,834,60.01,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(65, 7)","float32(65, 4)",71 rows
99b8519f-051f-5dc3-809f-db898a3e4eff,37,114,29.97,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(20, 7)","float32(20, 4)",24 rows
6a0b74f1-6168-59d1-b269-1a63eef4ae60,39,901,60.01,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(75, 7)","float32(75, 4)",77 rows
b996b174-68cf-58bd-8b24-6f783485599c,39,507,59.95,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(46, 7)","float32(46, 4)",48 rows
553a16ec-d1c9-5dd6-a664-6831c657b152,40,375,59.9,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(34, 7)","float32(34, 4)",36 rows
14c3ef20-e482-5d8c-8f61-8cdab4726ebf,40,570,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(45, 7)","float32(45, 4)",49 rows
2ad21875-22f3-5f0e-af8d-9d523c127bec,46,789,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(54, 7)","float32(54, 4)",67 rows
0d798157-31f1-518a-8df2-38ed0cd7bf18,47,210,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(17, 7)","float32(17, 4)",19 rows
1ecc0ea2-1f77-5982-b20c-39a289459f07,48,342,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(31, 7)","float32(31, 4)",33 rows
341baf4b-30fa-5cb8-963a-30a01d91d138,48,205,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(51, 7)","float32(51, 4)",53 rows
fda2ef7a-20b7-56cf-97d5-4469350f1416,49,609,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(54, 7)","float32(54, 4)",57 rows
37cfc21a-e8fd-5591-a0b5-ddd12adaab8b,49,180,50.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(16, 7)","float32(16, 4)",19 rows
5cc43d90-6a28-5d5e-80e5-52587f27c303,49,63,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(68, 7)","float32(11, 4)",12 rows
6dbd3c9d-3e57-5224-99eb-f2197411939d,50,414,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(34, 7)","float32(34, 4)",36 rows
031fd8df-255f-57b2-95cc-f1df2c550e14,50,193,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(48, 7)","float32(48, 4)",50 rows
fe3c2331-b5b6-5d9f-88b6-79e9b6d1b4c9,53,813,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(70, 7)","float32(70, 4)",75 rows
58528db7-0b3d-5909-94ff-13468c61dcb5,57,639,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(42, 7)","float32(42, 4)",55 rows
0cfff912-9ba8-5efc-b098-37d7d66520e7,59,78,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(40, 7)","float32(13, 4)",14 rows
1ecc0b72-0f40-52b0-8603-89e2be8456bb,59,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(74, 7)","float32(74, 4)",83 rows
9c00fa6f-164e-52ba-93d7-6e16ba678886,59,900,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(74, 7)","float32(74, 4)",76 rows
919b127e-f5fd-5241-933e-0b249f785754,59,184,23.98,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(41, 7)","float32(41, 4)",47 rows
8e215695-de46-52f1-9a56-d0609134a422,60,900,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(72, 7)","float32(72, 4)",76 rows
c64aa8af-982d-5190-898a-ffccbd5cb18f,61,63,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(71, 7)","float32(11, 4)",12 rows
90f8eb08-158e-5318-8045-9e5d6ec277d4,63,151,24.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(65, 7)","float32(38, 4)",39 rows
75a60ab4-2b4f-5e7e-bca8-4bc124d46c86,65,762,60.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(47, 7)","float32(47, 4)",65 rows
3648a41b-0b88-57b1-a99b-d8e661f70667,65,49,24.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(90, 7)","float32(13, 4)",14 rows
f935e962-ff50-503a-8dd7-e77683d528e1,66,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(80, 7)","float32(80, 4)",83 rows
13072520-bb49-5361-b5cd-80eb50132a1c,71,348,30.0,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(53, 7)","float32(53, 4)",59 rows
7f627da5-80a2-5ff0-8363-a50e883a8ba6,72,899,59.94,"caption.json,indexes.txt,instructions.json,intrinsics.npy,poses.npy","float32(39, 7)","float32(39, 4)",83 rows
